Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
sensepost-xrdp,exploitation ,,A rudimentary remote desktop tool for the X11 protocol exploiting unauthenticated x11 sessions.,https://github.com/sensepost/xrdp,BlackArch
sentrypeer,defensive ,,Protect SIP Servers from bad actors.,https://github.com/SentryPeer/SentryPeer,BlackArch
sergio-proxy,proxy ,,A multi-threaded transparent HTTP proxy for manipulating web traffic.,https://github.com/supernothing/sergio-proxy,BlackArch
serialbrute,exploitation ,,Java serialization brute force attack tool.,https://github.com/NickstaDB/SerialBrute,BlackArch
serializationdumper,webapp ,,A tool to dump Java serialization streams in a more human readable form.,https://github.com/NickstaDB/SerializationDumper/,BlackArch
server-status-pwn,recon ,,A script that monitors and extracts requested URLs and clients connected to the service by exploiting publicly accessible Apache server-status instances.,https://github.com/mazen160/server-status_PWN,BlackArch
sessionlist,networking ,,Sniffer that intents to sniff HTTP packets and attempts to reconstruct interesting authentication data from websites that do not employ proper secure cookie auth.,http://www.0xrage.com/,BlackArch
set,social ,,Social-engineer toolkit. Aimed at penetration testing around Social-Engineering.,https://github.com/trustedsec/social-engineer-toolkit/tags,BlackArch
seth,networking ,,Perform a MitM attack and extract clear text credentials from RDP connections.,https://github.com/SySS-Research/Seth,BlackArch
setowner,windows ,,"Allows you to set file ownership to any account, as long as you have the ""Restore files and directories"" user right.",http://ntsecurity.nu/toolbox/setowner/,BlackArch
sfuzz,fuzzer ,,A simple fuzzer.,http://aconole.brad-x.com/programs/sfuzz.html,BlackArch
sgn,binary ,,Shikata ga nai encoder ported into go with several improvements.,https://github.com/EgeBalci/sgn,BlackArch
sh00t,misc ,,A Testing Environment for Manual Security Testers.,https://github.com/pavanw3b/sh00t,BlackArch
sha1collisiondetection,crypto ,,Library and command line tool to detect SHA collision in a file,https://github.com/cr-marcstevens/sha1collisiondetection,BlackArch
shad0w,windows ,,A modular C2 framework designed to successfully operate on mature environments.,https://github.com/bats3c/shad0w,BlackArch
shadowexplorer,forensic ,,Browse the Shadow Copies created by the Windows Vista / 7 / 8 / 10 Volume Shadow Copy Service.,https://www.shadowexplorer.com/downloads.html,BlackArch
shard,recon ,,A command line tool to detect shared passwords.,https://github.com/philwantsfish/shard,BlackArch
shareenum,scanner ,,Tool to enumerate shares from Windows hosts.,https://github.com/CroweCybersecurity/shareenum,BlackArch
sharesniffer,scanner ,,Network share sniffer and auto-mounter for crawling remote file systems.,https://github.com/shirosaidev/sharesniffer,BlackArch
shed,windows ,,.NET runtime inspector.,https://github.com/enkomio/shed,BlackArch
shellcheck,code-audit ,,Shell script analysis tool,https://www.shellcheck.net,BlackArch
shellcode-compiler,exploitation ,,"Compiles C/C++ style code into a small, position-independent and NULL-free shellcode for Windows & Linux.",https://github.com/NytroRST/ShellcodeCompiler,BlackArch
shellcode-factory,exploitation ,,Tool to create and test shellcodes from custom assembly sources.,https://github.com/danielhenrymantilla/shellcode-factory,BlackArch
shellcodecs,exploitation ,,"A collection of shellcode, loaders, sources, and generators provided with documentation designed to ease the exploitation and shellcode programming process.",http://www.blackhatlibrary.net/Shellcodecs,BlackArch
shellen,exploitation ,,Interactive shellcoding environment to easily craft shellcodes.,https://github.com/merrychap/shellen,BlackArch
shellerator,automation ,,Simple command-line tool aimed to help pentesters quickly generate one-liner reverse/bind shells in multiple languages.,https://github.com/ShutdownRepo/shellerator,BlackArch
shellinabox,backdoor ,,Implements a web server that can export arbitrary command line tools to a web based terminal emulator.,https://github.com/shellinabox/shellinabox,BlackArch
shelling,misc ,,An offensive approach to the anatomy of improperly written OS command injection sanitisers.,https://github.com/ewilded/shelling,BlackArch
shellme,exploitation ,,Because sometimes you just need shellcode and opcodes quickly. This essentially just wraps some nasm/objdump calls into a neat script.,https://github.com/hatRiot/shellme,BlackArch
shellnoob,debugger ,,A toolkit that eases the writing and debugging of shellcode.,https://github.com/reyammer/shellnoob,BlackArch
shellpop,automation ,,Generate easy and sophisticated reverse or bind shell commands.,https://github.com/0x00x00/ShellPop,BlackArch
shellsploit-framework,exploitation ,,New Generation Exploit Development Kit.,https://github.com/b3mb4m/shellsploit-framework,BlackArch
shellter,exploitation ,,"A dynamic shellcode injection tool, and the first truly dynamic PE infector ever created.",https://www.shellterproject.com/download/,BlackArch
shellz,automation ,,A script for generating common revshells fast and easy.,https://github.com/4ndr34z/shells,BlackArch
sherlock,social ,,Find usernames across social networks.,https://github.com/sherlock-project/sherlock,BlackArch
sherlocked,packer ,,"Universal script packer-- transforms any type of script into a protected ELF executable, encrypted with anti-debugging.",https://github.com/elfmaster/sherlocked,BlackArch
shhgit,recon ,,"Find committed secrets and sensitive files across GitHub, Gists, GitLab and BitBucket or your local repositories in real time.",https://github.com/eth0izzle/shhgit,BlackArch
shitflood,dos ,,A Socks5 clone flooder for the Internet Relay Chat (IRC) protocol.,https://github.com/acidvegas/shitflood,BlackArch
shocker,exploitation ,,A tool to find and exploit servers vulnerable to Shellshock.,https://github.com/nccgroup/shocker,BlackArch
shodanhat,recon ,,Search for hosts info with shodan.,https://github.com/HatBashBR/ShodanHat,BlackArch
shootback,backdoor ,,A reverse TCP tunnel let you access target behind NAT or firewall.,https://github.com/aploium/shootback,BlackArch
shortfuzzy,webapp ,,A web fuzzing script written in perl.,http://packetstormsecurity.com/files/104872/Short-Fuzzy-Rat-Scanner.html,BlackArch
shosubgo,recon ,,Small tool to Grab subdomains using Shodan API.,https://github.com/incogbyte/shosubgo,BlackArch
shreder,cracker ,,A powerful multi-threaded SSH protocol password bruteforce tool.,https://github.com/EntySec/Shreder,BlackArch
shuffledns,webapp ,,A wrapper around massdns written in GO.,https://github.com/projectdiscovery/shuffledns.git,BlackArch
sickle,exploitation ,,"A shellcode development tool, created to speed up the various steps needed to create functioning shellcode.",https://github.com/wetw0rk/Sickle,BlackArch
sidguesser,cracker ,,Guesses sids/instances against an Oracle database according to a predefined dictionary file.,http://www.cqure.net/wp/tools/database/sidguesser/,BlackArch
siege,dos ,,An http regression testing and benchmarking utility,https://www.joedog.org/siege-home/,BlackArch
sigma,defensive ,,Generic Signature Format for SIEM Systems,https://github.com/SigmaHQ/sigma/releases,BlackArch
sign,mobile ,,Automatically signs an apk with the Android test certificate.,https://github.com/appium/sign,BlackArch
sigploit,exploitation ,,"Telecom Signaling Exploitation Framework - SS7, GTP, Diameter & SIP.",https://github.com/SigPloiter/SigPloit,BlackArch
sigspotter,windows ,,A tool that search in your HD to find which publishers has been signed binaries in your PC.,http://www.security-projects.com/?SigSpotter,BlackArch
sigthief,exploitation ,,Stealing Signatures and Making One Invalid Signature at a Time.,https://github.com/secretsquirrel/SigThief,BlackArch
silenteye,stego ,,A cross-platform application design for an easy use of steganography.,https://github.com/achorein/silenteye/,BlackArch
silenttrinity,backdoor ,,"An asynchronous, collaborative post-exploitation agent powered by Python and .NET's DLR.",https://github.com/byt3bl33d3r/SILENTTRINITY,BlackArch
silk,networking ,,A collection of traffic analysis tools developed by the CERT NetSA to facilitate security analysis of large networks.,https://tools.netsa.cert.org/silk/download.html,BlackArch
simple-ducky,automation ,,A payload generator.,https://code.google.com/p/simple-ducky-payload-generator,BlackArch
simple-lan-scan,scanner ,,A simple python script that leverages scapy for discovering live hosts on a network.,http://packetstormsecurity.com/files/97353/Simple-LAN-Scanner.0.html,BlackArch
simpleemailspoofer,social ,,A simple Python CLI to spoof emails.,https://github.com/lunarca/SimpleEmailSpoofer,BlackArch
simplify,mobile ,,Generic Android Deobfuscator.,https://github.com/CalebFenton/simplify,BlackArch
simplyemail,recon ,,"Email recon made fast and easy, with a framework to build on CyberSyndicates",https://github.com/killswitch-GUI/SimplyEmail,BlackArch
simtrace2,radio ,,Host utilities to communicate with SIMtrace2 USB Devices.,https://osmocom.org/projects/simtrace2/wiki,BlackArch
sinfp,fingerprint ,,A full operating system stack fingerprinting suite.,https://cpan.metacpan.org/authors/id/G/GO/GOMOR/,BlackArch
siparmyknife,voip ,,A small command line tool for developers and administrators of Session Initiation Protocol (SIP) applications.,http://packetstormsecurity.com/files/107301/sipArmyKnife_11232011.pl.txt,BlackArch
sipbrute,voip ,,A utility to perform dictionary attacks against the VoIP SIP Register hash.,https://github.com/packetassailant/sipbrute,BlackArch
sipcrack,cracker ,,A SIP protocol login cracker.,http://www.remote-exploit.org/codes_sipcrack.html,BlackArch
sipffer,sniffer ,,SIP protocol command line sniffer.,https://github.com/xenomuta/SIPffer,BlackArch
sipi,recon ,,Simple IP Information Tools for Reputation Data Analysis.,https://github.com/ST2Labs/SIPI,BlackArch
sipp,voip ,,A free Open Source test tool / traffic generator for the SIP protocol.,http://sipp.sourceforge.net/,BlackArch
sippts,voip ,,Set of tools to audit SIP based VoIP Systems.,https://github.com/Pepelux/sippts,BlackArch
sipsak,voip ,,A small command line tool for developers and administrators of Session Initiation Protocol (SIP) applications.,https://github.com/nils-ohlmeier/sipsak/releases,BlackArch
sipscan,windows ,,A sip scanner.,http://www.hackingvoip.com/sec_tools.html,BlackArch
sipshock,scanner ,,A scanner for SIP proxies vulnerable to Shellshock.,https://github.com/zaf/sipshock,BlackArch
sipvicious,automation ,,Tools for auditing SIP devices.,http://blog.sipvicious.org/,BlackArch
sireprat,exploitation ,,Remote Command Execution as SYSTEM on Windows IoT Core.,https://github.com/SafeBreach-Labs/SirepRAT,BlackArch
sitadel,webapp ,,Web Application Security Scanner.,https://github.com/shenril/Sitadel,BlackArch
sitediff,webapp ,,Fingerprint a web app using local files as the fingerprint sources.,https://github.com/digininja/sitediff,BlackArch
sjet,exploitation ,,Siberas JMX exploitation toolkit.,https://github.com/h0ng10/sjet,BlackArch
skipfish,webapp ,,"A fully automated, active web application security reconnaissance tool.",http://code.google.com/p/skipfish/,BlackArch
skiptracer,social ,,OSINT python2 webscraping framework. Skipping the needs of API keys.,https://github.com/84KaliPleXon3/skiptracer,BlackArch
skul,cracker ,,A PoC to bruteforce the Cryptsetup implementation of Linux Unified Key Setup (LUKS).,https://github.com/cryptcoffee/skul,BlackArch
skydive,networking ,,An open source real-time network topology and protocols analyzer.,https://github.com/skydive-project/skydive,BlackArch
skyjack,drone ,,"Takes over Parrot drones, deauthenticating their true owner and taking over control, turning them into zombie drones under your own control.",https://github.com/samyk/skyjack,BlackArch
skype-dump,windows ,,This is a tool that demonstrates dumping MD5 password hashes from the configuration file in Skype.,http://packetstormsecurity.com/files/119155/Skype-Hash-Dumper.0.html,BlackArch
skypefreak,forensic ,,A Cross Platform Forensic Framework for Skype.,http://osandamalith.github.io/SkypeFreak/,BlackArch
slackpirate,social ,,Slack Enumeration and Extraction Tool - extract sensitive information from a Slack Workspace.,https://github.com/emtunc/SlackPirate,BlackArch
sleuthkit,forensic ,,File system and media management forensic analysis tools,https://www.sleuthkit.org/sleuthkit,BlackArch
sleuthql,misc ,,Python3 Burp History parsing tool to discover potential SQL injection points. To be used in tandem with SQLmap.,https://github.com/RhinoSecurityLabs/SleuthQL,BlackArch
slither,code-audit ,,Solidity static analysis framework written in Python 3.,https://github.com/crytic/slither,BlackArch
sloth-fuzzer,fuzzer ,,A smart file fuzzer.,https://github.com/mfontanini/sloth-fuzzer,BlackArch
slowhttptest,dos ,,Highly configurable tool that simulates some Application Layer Denial of Service (DoS) attacks,https://github.com/shekyan/slowhttptest,BlackArch
slowloris,dos ,,A tool which is written in perl to test http-server vulnerabilities for connection exhaustion denial of service (DoS) attacks so you can enhance the security of your webserver.,http://ha.ckers.org/slowloris/,BlackArch
slowloris-py,dos ,,Low bandwidth DoS tool.,https://github.com/gkbrk/slowloris,BlackArch
slurp-scanner,scanner ,,Evaluate the security of S3 buckets.,https://github.com/0xbharath/slurp,BlackArch
smali,disassembler ,,Assembler/disassembler for Android's dex format,https://github.com/JesusFreke/smali,BlackArch
smali-cfgs,mobile ,,Smali Control Flow Graph's.,https://github.com/ch0psticks/Smali-CFGs,BlackArch
